"blueWins","blueWardsPlaced","redWardsPlaced","blueWardsDestroyed","redWardsDestroyed","blueFirstBlood","blueTotalMinionsKilled","redTotalMinionsKilled","blueKills","redKills","blueEliteMonsters","redEliteMonsters","blueDragons","redDragons","blueHeralds","redHeralds","blueTotalGold","redTotalGold","blueTotalExperience","redTotalExperience","blueAvgLevel","redAvgLevel","",""
"0","28","15","2","6","1","195","197","9","6","0","0","0","0","0","0","17210","16567","17039","17047","6.6","6.8","",""
"0","12","12","1","1","0","174","240","5","5","0","2","0","1","0","1","14712","17620","16265","17438","6.6","6.8","",""
"0","15","15","0","3","0","186","203","7","11","1","0","1","0","0","0","16113","17285","16221","17254","6.4","6.8","",""
"0","43","15","1","2","0","201","235","4","5","1","0","0","0","1","0","15157","16478","17954","17961","7","7","",""
"0","75","17","4","2","0","210","225","6","6","0","1","0","1","0","0","16400","17404","18543","18313","7","7","",""
"1","18","36","0","5","0","225","221","5","3","1","0","1","0","0","0","15899","15201","18161","18060","7","7","",""
"1","18","57","3","1","1","225","164","7","6","1","0","1","0","0","0","16874","14463","16967","15404","6.8","6.4","",""
"0","16","15","2","0","0","209","157","5","13","0","1","0","1","0","0","15305","17920","16138","16938","6.4","6.6","",""
"0","16","15","3","2","0","189","240","7","7","0","2","0","1","0","1","16401","18380","18527","19298","7.2","7.2","",""
"1","13","16","1","2","1","220","247","4","5","1","0","1","0","0","0","15057","16605","16805","18379","6.8","6.8","",""
"0","20","15","3","2","1","231","216","4","4","0","1","0","1","0","0","15474","15143","16611","18196","6.6","7.2","",""
"0","33","17","2","1","1","157","188","11","11","1","0","0","0","1","0","16695","18200","18507","19142","7","7","",""
"1","18","12","1","1","1","238","240","7","1","1","0","1","0","0","0","17865","14591","19102","17443","7.4","6.8","",""
"0","14","20","3","3","0","210","229","4","9","1","0","0","0","1","0","14979","18393","17213","18354","6.6","7.2","",""
"1","15","102","3","1","1","224","242","4","4","0","0","0","0","0","0","15722","16192","17896","18083","6.8","7","",""
"0","17","18","1","3","0","209","237","3","7","0","0","0","0","0","0","15015","17011","16974","18778","6.8","7.2","",""
"1","14","13","1","2","1","263","210","10","2","0","1","0","1","0","0","19733","14505","20862","17484","7.6","6.8","",""
"0","43","17","3","14","0","203","218","3","7","1","0","0","0","1","0","14852","16827","16888","18233","6.8","6.8","",""
"1","21","19","4","3","1","213","228","5","4","0","2","0","1","0","1","16282","15400","17378","16866","6.8","6.6","",""
"0","11","15","3","1","0","188","219","5","9","0","0","0","0","0","0","14994","18149","17924","20697","7","7.4","",""
"1","14","12","3","2","1","214","225","11","6","1","0","1","0","0","0","18606","16080","19254","17629","7.2","7","",""
"0","13","15","1","3","0","203","209","4","13","0","1","0","1","0","0","15878","18713","16945","19766","6.8","7.2","",""
"0","17","16","2","3","0","238","231","4","6","0","1","0","1","0","0","15773","17027","17562","18129","7","7","",""
"0","78","15","4","3","0","238","220","4","3","2","0","1","0","1","0","15906","15500","19219","17936","6.8","7","",""
"1","33","18","3","3","0","208","197","6","9","0","0","0","0","0","0","16515","17535","17223","16730","6.8","6.6","",""
"0","17","19","1","2","0","204","221","4","8","0","1","0","1","0","0","15415","17887","16047","17114","6.2","7","",""
"1","18","10","1","3","0","209","233","8","6","1","0","1","0","0","0","17178","15918","17854","17909","7","6.8","",""
"0","19","14","3","4","1","228","202","7","4","0","1","0","1","0","0","17226","15369","18982","16967","7","6.6","",""
"0","105","65","5","3","1","217","223","8","6","1","0","1","0","0","0","17474","16154","17436","17849","6.8","6.8","",""
"0","18","18","5","3","0","233","225","3","8","1","0","1","0","0","0","14905","18187","17974","19621","6.8","7.4","",""
"1","22","21","7","4","1","228","227","9","4","1","0","1","0","0","0","18132","15249","18076","15965","7","6.2","",""
"1","17","15","4","2","1","218","206","5","2","2","0","1","0","1","0","16053","14350","17406","15710","6.8","6.4","",""
"0","12","19","3","2","0","203","206","6","4","0","1","0","1","0","0","16438","15830","16989","17074","6.8","6.8","",""
"0","15","14","2","1","1","201","222","5","4","0","1","0","1","0","0","15634","15563","16355","16714","6.8","6.8","",""
"1","40","15","2","1","0","204","223","6","4","0","1","0","1","0","0","16085","15810","19076","18204","7.4","7.2","",""
"0","24","17","3","2","0","235","218","3","4","0","2","0","1","0","1","14981","15790","17082","16444","6.8","6.8","",""
"0","12","14","4","2","0","217","234","2","8","1","0","1","0","0","0","15421","18192","19276","20401","7.2","7.4","",""
"0","20","40","2","4","1","203","214","5","6","1","1","0","1","1","0","15665","17395","17716","18952","6.8","7","",""
"0","11","18","3","1","0","234","227","7","9","1","1","0","1","1","0","17528","18432","19609","18232","7.2","7","",""
"0","18","36","2","3","0","213","236","3","6","1","1","0","1","1","0","15032","16715","16832","18195","6.6","7","",""
"0","28","41","3","0","0","222","213","4","11","0","1","0","1","0","0","15483","18508","17362","19195","6.8","7.2","",""
"1","36","16","1","2","0","231","185","10","6","0","0","0","0","0","0","19226","16222","20118","17818","7.4","7","",""
"1","18","17","3","2","0","204","194","9","6","1","0","1","0","0","0","16945","15371","17806","17045","6.8","6.8","",""
"1","12","19","2","1","1","233","221","5","5","0","0","0","0","0","0","15000","16036","16493","17916","6.6","7","",""
"0","18","39","4","4","1","252","243","3","4","1","1","0","1","1","0","15888","15872","19090","18657","7.4","7","",""
"0","41","12","0","1","0","187","247","1","10","0","1","0","0","0","1","12925","19311","15498","19708","6.4","7.2","",""
"1","14","15","4","3","1","251","196","11","2","0","0","0","0","0","0","19250","14154","19703","16393","7.6","6.4","",""
"1","19","13","1","5","1","218","200","8","4","1","0","1","0","0","0","18355","15599","18790","17107","7","6.8","",""
"1","15","12","2","4","0","180","218","2","3","1","0","0","0","1","0","13978","14955","16429","17454","6.6","6.8","",""
"0","16","38","1","6","0","206","241","5","5","0","0","0","0","0","0","15851","16659","17366","19021","6.8","7.2","",""
"0","14","22","0","4","0","209","206","7","9","0","1","0","1","0","0","16474","18033","17408","17815","6.6","6.8","",""
"1","18","12","0","1","0","213","182","6","8","0","0","0","0","0","0","16590","16046","18284","18209","7","7","",""
"1","22","16","4","3","1","217","212","5","2","2","0","1","0","1","0","15737","14356","18634","17617","7","7","",""
"1","37","15","2","1","1","248","210","5","3","0","1","0","1","0","0","16990","14959","19634","18185","7.4","7","",""
"0","14","20","4","2","0","246","227","3","3","1","0","1","0","0","0","15297","15166","19210","18840","7","7.2","",""
"0","16","30","2","2","0","224","201","4","10","1","1","0","1","1","0","15651","18350","17696","20445","7","7.4","",""
"0","17","14","0","0","1","181","218","5","7","1","0","1","0","0","0","15587","17259","16746","19444","6.8","7.4","",""
"1","19","18","3","4","1","213","234","10","6","1","0","1","0","0","0","17777","16576","18131","17815","7.2","6.8","",""
"1","29","14","3","4","1","222","247","7","5","2","0","1","0","1","0","16426","16534","18407","18348","7","6.8","",""
"0","12","20","0","1","0","236","182","10","7","0","1","0","1","0","0","20278","15645","19575","17306","7.2","6.6","",""
"0","18","18","4","3","0","191","218","2","7","0","1","0","1","0","0","13791","16053","16437","17828","6.6","6.8","",""
"0","24","17","3","2","0","208","207","6","7","0","1","0","1","0","0","16505","16554","17667","17167","7","6.8","",""
"1","18","36","2","3","1","229","232","6","4","1","1","1","0","0","1","17277","15590","19610","18521","7.2","7.2","",""
"1","122","14","3","3","1","229","233","9","1","2","0","1","0","1","0","18269","14336","19659","16737","7.2","6.4","",""
"0","12","16","4","2","0","203","224","4","10","1","0","1","0","0","0","14166","18227","15959","20356","6.6","7.4","",""
"0","52","15","2","1","0","188","240","6","12","0","1","0","0","0","1","15456","20376","16280","19560","6.6","7.4","",""
"0","19","11","2","4","0","210","227","4","5","0","0","0","0","0","0","15180","16885","17773","19612","7","7.2","",""
"0","32","24","4","5","1","212","200","7","8","1","1","1","0","0","1","16179","16074","16814","18361","6.8","7","",""
"1","14","11","0","1","0","233","234","3","5","0","1","0","1","0","0","16026","16580","18490","17969","7","6.8","",""
"0","19","18","5","4","1","198","241","4","5","0","1","0","1","0","0","14850","15887","17145","18722","6.8","7","",""
"0","16","13","2","5","1","202","199","9","8","1","1","0","1","1","0","17347","18491","18573","18093","7","7","",""
"1","36","12","0","1","1","200","186","5","4","0","1","0","1","0","0","15887","14714","17591","16638","6.8","6.6","",""
"0","18","13","2","3","1","232","208","8","2","0","1","0","1","0","0","17399","14205","19449","16915","7","6.6","",""
"0","13","12","3","0","1","204","192","2","7","1","0","1","0","0","0","13828","16450","16629","17765","6.6","6.8","",""
"1","15","15","3","2","1","242","205","6","4","1","1","1","0","0","1","16645","15494","19110","18640","7.2","7","",""
"1","50","48","4","2","1","200","169","6","4","2","0","1","0","1","0","16248","14785","17200","15710","6.8","6.6","",""
"0","14","15","2","2","0","221","226","4","6","0","2","0","1","0","1","15310","16348","18337","19644","7","7.2","",""
"1","17","13","2","4","1","212","180","8","4","1","0","0","0","1","0","16784","15360","17242","16182","6.6","6.4","",""
"1","18","12","1","4","0","232","216","13","9","1","0","1","0","0","0","19032","18505","18951","18230","7.4","7","",""
"0","17","52","5","4","0","242","198","7","6","0","2","0","1","0","1","17518","15711","18342","17410","7.2","6.8","",""
"0","43","16","6","0","1","256","210","11","4","1","1","0","1","1","0","18976","16120","20326","19064","7.4","7.2","",""
"0","12","13","1","1","0","204","241","6","6","1","1","1","0","0","1","16143","17107","16617","19071","6.6","7","",""
"0","20","42","2","7","0","199","178","7","8","1","1","0","1","1","0","15868","16046","17111","16587","7","6.8","",""
"1","18","16","3","0","0","235","207","9","8","1","0","1","0","0","0","17977","17272","18162","17970","7","7","",""
"1","16","15","0","1","0","208","210","10","10","1","0","1","0","0","0","18138","17230","18159","17853","7","7","",""
"1","14","25","2","0","0","261","220","7","2","2","0","1","0","1","0","18025","14467","19864","16621","7.2","6.8","",""
"0","12","53","6","1","0","241","218","1","6","0","1","0","1","0","0","14625","15924","17769","17818","6.8","7","",""
"1","16","19","4","2","0","201","248","5","8","1","0","1","0","0","0","15752","17515","17113","18977","6.6","7.2","",""
"1","15","12","0","1","0","232","247","10","4","0","0","0","0","0","0","18480","15933","19565","17376","7.4","6.6","",""
"0","13","20","3","3","0","210","200","3","10","1","1","1","0","0","1","14995","18680","16206","19325","6.6","7.4","",""
